experimentId,scenario,runId,deviceId,deviceType,sequence,sensorTimestamp,edgeReceivedTimestamp,normalizedTimestamp,filteredTimestamp,anomalyTimestamp,cloudReceivedTimestamp,temperature,vibration,rpm,current,load,pressure,flowRate,speed,motorCurrent,level,inletFlow,outletFlow,valveState,status,isAnomaly,anomalyType
budgeted_800k_s0_s1_s2,S2_HYBRID,s2_90_outage_120_rep2_full_20260504_013601,motor-001,motor,1,2026-01-01T00:00:00.000000Z,,,,,,58.7242,0.3666,1447.7656,8.6808,64.2846,,,,,,,,,NORMAL,False,
budgeted_800k_s0_s1_s2,S2_HYBRID,s2_90_outage_120_rep2_full_20260504_013601,motor-002,motor,1,2026-01-01T00:00:00.011111Z,,,,,,61.232,0.3232,1456.0519,9.0873,66.518,,,,,,,,,NORMAL,False,
budgeted_800k_s0_s1_s2,S2_HYBRID,s2_90_outage_120_rep2_full_20260504_013601,motor-003,motor,1,2026-01-01T00:00:00.022222Z,,,,,,62.3165,0.2352,1433.0871,8.0099,52.526,,,,,,,,,NORMAL,False,
budgeted_800k_s0_s1_s2,S2_HYBRID,s2_90_outage_120_rep2_full_20260504_013601,motor-004,motor,1,2026-01-01T00:00:00.033333Z,,,,,,57.2441,0.2745,1438.0134,8.5397,61.3615,,,,,,,,,NORMAL,False,
budgeted_800k_s0_s1_s2,S2_HYBRID,s2_90_outage_120_rep2_full_20260504_013601,motor-005,motor,1,2026-01-01T00:00:00.044444Z,,,,,,58.4573,0.3034,1449.5868,8.9858,64.8128,,,,,,,,,NORMAL,False,
budgeted_800k_s0_s1_s2,S2_HYBRID,s2_90_outage_120_rep2_full_20260504_013601,motor-006,motor,1,2026-01-01T00:00:00.055556Z,,,,,,59.8112,0.3612,1446.5733,8.795,63.5223,,,,,,,,,NORMAL,False,
budgeted_800k_s0_s1_s2,S2_HYBRID,s2_90_outage_120_rep2_full_20260504_013601,motor-007,motor,1,2026-01-01T00:00:00.066667Z,,,,,,61.8654,0.3523,1450.2255,8.2901,54.2731,,,,,,,,,NORMAL,False,
budgeted_800k_s0_s1_s2,S2_HYBRID,s2_90_outage_120_rep2_full_20260504_013601,motor-008,motor,1,2026-01-01T00:00:00.077778Z,,,,,,58.7431,0.2658,1459.5512,7.9946,51.288,,,,,,,,,NORMAL,False,
budgeted_800k_s0_s1_s2,S2_HYBRID,s2_90_outage_120_rep2_full_20260504_013601,motor-009,motor,1,2026-01-01T00:00:00.088889Z,,,,,,61.384,0.2523,1452.2331,8.2849,51.6573,,,,,,,,,NORMAL,False,
budgeted_800k_s0_s1_s2,S2_HYBRID,s2_90_outage_120_rep2_full_20260504_013601,motor-010,motor,1,2026-01-01T00:00:00.100000Z,,,,,,59.0782,0.1764,1463.6875,7.7673,46.6529,,,,,,,,,NORMAL,False,
budgeted_800k_s0_s1_s2,S2_HYBRID,s2_90_outage_120_rep2_full_20260504_013601,motor-011,motor,1,2026-01-01T00:00:00.111111Z,,,,,,63.6871,0.2465,1451.3799,8.1127,49.0515,,,,,,,,,NORMAL,False,
budgeted_800k_s0_s1_s2,S2_HYBRID,s2_90_outage_120_rep2_full_20260504_013601,motor-012,motor,1,2026-01-01T00:00:00.122222Z,,,,,,61.0253,0.2854,1461.3756,7.9268,49.2171,,,,,,,,,NORMAL,False,
budgeted_800k_s0_s1_s2,S2_HYBRID,s2_90_outage_120_rep2_full_20260504_013601,motor-013,motor,1,2026-01-01T00:00:00.133333Z,,,,,,63.4486,0.3311,1462.3344,7.6475,45.8956,,,,,,,,,NORMAL,False,
budgeted_800k_s0_s1_s2,S2_HYBRID,s2_90_outage_120_rep2_full_20260504_013601,motor-014,motor,1,2026-01-01T00:00:00.144444Z,,,,,,62.035,0.3289,1436.1326,8.9114,63.2671,,,,,,,,,NORMAL,False,
budgeted_800k_s0_s1_s2,S2_HYBRID,s2_90_outage_120_rep2_full_20260504_013601,motor-015,motor,1,2026-01-01T00:00:00.155556Z,,,,,,63.3855,0.328,1436.7562,8.6154,60.0253,,,,,,,,,NORMAL,False,
budgeted_800k_s0_s1_s2,S2_HYBRID,s2_90_outage_120_rep2_full_20260504_013601,motor-016,motor,1,2026-01-01T00:00:00.166667Z,,,,,,63.0346,0.1852,1454.3043,8.4307,57.26,,,,,,,,,NORMAL,False,
budgeted_800k_s0_s1_s2,S2_HYBRID,s2_90_outage_120_rep2_full_20260504_013601,motor-017,motor,1,2026-01-01T00:00:00.177778Z,,,,,,61.4063,0.195,1442.5749,8.8502,63.1059,,,,,,,,,NORMAL,False,
budgeted_800k_s0_s1_s2,S2_HYBRID,s2_90_outage_120_rep2_full_20260504_013601,motor-018,motor,1,2026-01-01T00:00:00.188889Z,,,,,,60.565,0.1755,1436.2643,8.3157,56.7211,,,,,,,,,NORMAL,False,
